 570011,"
                        
                                ASUS ZENBOOK UX510UX-BB71                            
                                
                                                    ",ASUS,ZENBOOK,UX510UX-BB71,"
                        
                                ASUS ZENBOOK UX510UX-BB71                            
                                
                                                    ","
                        
                                ASUS ZENBOOK UX510UX-BB71                            
                                
                                                    ","
                                 LCD Screen                            ","
                                15.6"" WideScreen                            ","
                                UHD (3840x2160)                            ","
                                Matte                            ","
                                40 pin video connector                            ","
                                Top and Bottom Brackets                            ","
                                IPS                            ",Lifetime,$99.99,https://www.laptopscreen.com/English/model/ASUS/ZENBOOK~UX510UX-BB71/
 837930,"
                        
                                ASUS X70SE-7S SERIES                            
                                
                                                    ",ASUS,X70SE-7S,SERIES,"
                        
                                ASUS X70SE-7S SERIES                            
                                
                                                    ","
                        
                                ASUS X70SE-7S SERIES                            
                                
                                                    ","
                                 LCD Screen                            ","
                                17"" WideScreen                            ","
                                WXGA+ (1440x900)                            ","
                                Glossy                            ","
                                30 pin CCFL screen                            ","
                                Top and Bottom Brackets                            ","
                                IPS                            ",Lifetime,$99.99,https://www.laptopscreen.com/English/model/ASUS/X70SE-7S~SERIES/
 400222,"
                        
                                ASUS G60JX                            
                                
                                                    ",ASUS,G60JX,"
                        
                                ASUS G60JX                            
                                
                                                    ","
                        
                                ASUS G60JX                            
                                
                                                    ","
                        
                                ASUS G60JX                            
                                
                                                    ","
                                 LCD Screen                            ","
                                16"" WideScreen                            ","
                                HD (1366x768)                            ","
                                Matte                            ","
                                40 pin video connector                            ","
                                Top and Bottom Brackets                            ","
                                IPS                            ",Lifetime,$99.99,https://www.laptopscreen.com/English/model/ASUS/G60JX/
 174499,"
                        
                                ASUS T300LA-DH51T                            
                                
                                                    ",ASUS,T300LA-DH51T,"
                        
                                ASUS T300LA-DH51T                            
                                
                                                    ","
                        
                                ASUS T300LA-DH51T                            
                                
                                                    ","
                        
                                ASUS T300LA-DH51T                            
                                
                                                    ","
                                Touch Digitizer                            ","
                                13.3"" WideScreen                            ","
                                FHD (1920x1080)                            ","
                                Matte                            ","
                                40 pin video connector                            ","
                                Top and Bottom Brackets                            ","
                                IPS                            ",Lifetime,$71.99,https://www.laptopscreen.com/English/model/ASUS/T300LA-DH51T/
 796045,"
                        
                                ASUS MEMO PAD HD 8 ME180A TABLET                            
                                
                                                    ",ASUS,MEMO,PAD,"
                        
                                ASUS MEMO PAD HD 8 ME180A TABLET                            
                                
                                                    ","
                        
                                ASUS MEMO PAD HD 8 ME180A TABLET                            
                                
                                                    ","
                                LCD Screen + Touch Digitizer                            ","
                                13.3"" WideScreen                            ","
                                FHD (1920x1080)                            ","
                                Glossy                            ","
                                40 pin video connector                            ","
                                Top and Bottom Brackets                            ","
                                IPS                            ",Lifetime,$74.99,https://www.laptopscreen.com/English/model/ASUS/MEMO~PAD~HD~8~ME180A~TABLET/
 938741,"
                        
                                ASUS F450LD-CA SERIES                            
                                
                                                    ",ASUS,F450LD-CA,SERIES,"
                        
                                ASUS F450LD-CA SERIES                            
                                
                                                    ","
                        
                                ASUS F450LD-CA SERIES                            
                                
                                                    ","
                                Touch Digitizer                            ","
                                14.0"" WideScreen                            ","
                                HD (1366x768)                            ","
                                Matte                            ","
                                40 pin video connector                            ","
                                Top and Bottom Brackets                            ","
                                IPS                            ",Lifetime,$71.99,https://www.laptopscreen.com/English/model/ASUS/F450LD-CA~SERIES/
 189401,"
                        
                                ASUS TUF FX504GM-E SERIES                            
                                
                                                    ",ASUS,TUF,FX504GM-E,"
                        
                                ASUS TUF FX504GM-E SERIES                            
                                
                                                    ","
                        
                                ASUS TUF FX504GM-E SERIES                            
                                
                                                    ","
                                 LCD Screen                            ","
                                15.6"" WideScreen                            ","
                                FHD (1920x1080)                            ","
                                Glossy                            ","
                                30 pin video connector                            ","
                                Top and Bottom Brackets                            ","
                                IPS                            ",Lifetime,$139.99,https://www.laptopscreen.com/English/model/ASUS/TUF~FX504GM-E~SERIES/
 549899,"
                        
                                ASUS K555LB-DM SERIES                            
                                
                                                    ",ASUS,K555LB-DM,SERIES,"
                        
                                ASUS K555LB-DM SERIES                            
                                
                                                    ","
                        
                                ASUS K555LB-DM SERIES                            
                                
                                                    ","
                                 LCD Screen                            ","
                                15.6"" WideScreen                            ","
                                FHD (1920x1080)                            ","
                                Glossy                            ","
                                30 pin video connector                            ","
                                Top and Bottom Brackets                            ","
                                IPS                            ",Lifetime,$83.99,https://www.laptopscreen.com/English/model/ASUS/K555LB-DM~SERIES/
 145154,"
                        
                                ASUS K55VM                            
                                
                                                    ",ASUS,K55VM,"
                        
                                ASUS K55VM                            
                                
                                                    ","
                        
                                ASUS K55VM                            
                                
                                                    ","
                        
                                ASUS K55VM                            
                                
                                                    ","
                                 LCD Screen                            ","
                                15.6"" WideScreen                            ","
                                HD (1366x768)                            ","
                                Matte                            ","
                                40 pin video connector                            ","
                                Side                            ","
                                IPS                            ",Lifetime,$89.99,https://www.laptopscreen.com/English/model/ASUS/K55VM/
 974730,"
                        
                                ASUS N550JX                            
                                
                                                    ",ASUS,N550JX,"
                        
                                ASUS N550JX                            
                                
                                                    ","
                        
                                ASUS N550JX                            
                                
                                                    ","
                        
                                ASUS N550JX                            
                                
                                                    ","
                                Touch Digitizer                            ","
                                15.6"" WideScreen                            ","
                                HD (1366x768)                            ","
                                Matte                            ","
                                30 pin video connector                            ","
                                Top and Bottom Brackets                            ","
                                IPS                            ",Lifetime,$71.99,https://www.laptopscreen.com/English/model/ASUS/N550JX/
 580104,"
                        
                                ASUS K550V SERIES                            
                                
                                                    ",ASUS,K550V,SERIES,"
                        
                                ASUS K550V SERIES                            
                                
                                                    ","
                        
                                ASUS K550V SERIES                            
                                
                                                    ","
                                 LCD Screen                            ","
                                15.6"" WideScreen                            ","
                                HD (1366x768)                            ","
                                Matte                            ","
                                40 pin video connector                            ","
                                Top and Bottom Brackets                            ","
                                IPS                            ",Lifetime,$79.99,https://www.laptopscreen.com/English/model/ASUS/K550V~SERIES/
 238310,"
                        
                                ASUS G2K                            
                                
                                                    ",ASUS,G2K,"
                        
                                ASUS G2K                            
                                
                                                    ","
                        
                                ASUS G2K                            
                                
                                                    ","
                        
                                ASUS G2K                            
                                
                                                    ","
                                 LCD Screen                            ","
                                17"" WideScreen                            ","
                                FHD+ (1920x1200)                            ","
                                Glossy                            ","
                                30 pin CCFL screen                            ","
                                Top and Bottom Brackets                            ","
                                IPS                            ",Lifetime,$79.99,https://www.laptopscreen.com/English/model/ASUS/G2K/
 361008,"
                        
                                ASUS K43SM                            
                                
                                                    ",ASUS,K43SM,"
                        
                                ASUS K43SM                            
                                
                                                    ","
                        
                                ASUS K43SM                            
                                
                                                    ","
                        
                                ASUS K43SM                            
                                
                                                    ","
                                 LCD Screen                            ","
                                14.0"" WideScreen                            ","
                                HD (1366x768)                            ","
                                Matte                            ","
                                40 pin video connector                            ","
                                Top and Bottom Brackets                            ","
                                IPS                            ",Lifetime,$69.99,https://www.laptopscreen.com/English/model/ASUS/K43SM/
 228761,"
                        
                                ASUS G74SX-QS71                            
                                
                                                    ",ASUS,G74SX-QS71,"
                        
                                ASUS G74SX-QS71                            
                                
                                                    ","
                        
                                ASUS G74SX-QS71                            
                                
                                                    ","
                        
                                ASUS G74SX-QS71                            
                                
                                                    ","
                                 LCD Screen                            ","
                                17.3"" WideScreen                            ","
                                FHD (1920x1080)                            ","
                                Glossy                            ","
                                40 pin video connector                            ","
                                Top and Bottom Brackets                            ","
                                IPS                            ",Lifetime,$109.99,https://www.laptopscreen.com/English/model/ASUS/G74SX-QS71/
 460073,"
                        
                                ASUS K401UB-FR SERIES                            
                                
                                                    ",ASUS,K401UB-FR,SERIES,"
                        
                                ASUS K401UB-FR SERIES                            
                                
                                                    ","
                        
                                ASUS K401UB-FR SERIES                            
                                
                                                    ","
                                 LCD Screen                            ","
                                14.0"" WideScreen                            ","
                                FHD (1920x1080)                            ","
                                Glossy                            ","
                                30 pin video connector                            ","
                                Top and Bottom Brackets                            ","
                                IPS                            ",Lifetime,$51.99,https://www.laptopscreen.com/English/model/ASUS/K401UB-FR~SERIES/
 299254,"
                        
                                ASUS ZENBOOK UX303LA-US51T                            
                                
                                                    ",ASUS,ZENBOOK,UX303LA-US51T,"
                        
                                ASUS ZENBOOK UX303LA-US51T                            
                                
                                                    ","
                        
                                ASUS ZENBOOK UX303LA-US51T                            
                                
                                                    ","
                                 LCD Screen                            ","
                                13.3"" WideScreen                            ","
                                QHD+ (3200x1800)                            ","
                                Glossy                            ","
                                30 pin video connector                            ","
                                Top and Bottom Brackets                            ","
                                IPS                            ",Lifetime,$74.99,https://www.laptopscreen.com/English/model/ASUS/ZENBOOK~UX303LA-US51T/
 976579,"
                        
                                ASUS X555LJ-XO SERIES                            
                                
                                                    ",ASUS,X555LJ-XO,SERIES,"
                        
                                ASUS X555LJ-XO SERIES                            
                                
                                                    ","
                        
                                ASUS X555LJ-XO SERIES                            
                                
                                                    ","
                                 LCD Screen                            ","
                                15.6"" WideScreen                            ","
                                HD (1366x768)                            ","
                                Matte                            ","
                                40 pin video connector                            ","
                                Top and Bottom Brackets                            ","
                                IPS                            ",Lifetime,$79.99,https://www.laptopscreen.com/English/model/ASUS/X555LJ-XO~SERIES/
 682949,"
                        
                                ASUS EEE PC 1201HAB                            
                                
                                                    ",ASUS,EEE,PC,"
                        
                                ASUS EEE PC 1201HAB                            
                                
                                                    ","
                        
                                ASUS EEE PC 1201HAB                            
                                
                                                    ","
                                 LCD Screen                            ","
                                12.1"" WideScreen                            ","
                                HD (1366x768)                            ","
                                Glossy                            ","
                                40 pin video connector                            ","
                                Top and Bottom Brackets                            ","
                                IPS                            ",Lifetime,$79.99,https://www.laptopscreen.com/English/model/ASUS/EEE~PC~1201HAB/
 513063,"
                        
                                ASUS 5158N FPC-1 06WW                            
                                
                                                    ",ASUS,5158N,FPC-1,"
                        
                                ASUS 5158N FPC-1 06WW                            
                                
                                                    ","
                        
                                ASUS 5158N FPC-1 06WW                            
                                
                                                    ","
                                Touch Digitizer                            ","
                                10.1"" WideScreen                            ","
                                HD (1366x768)                            ","
                                Glossy                            ","
                                40 pin video connector                            ","
                                Top and Bottom Brackets                            ","
                                IPS                            ",Lifetime,$79.99,https://www.laptopscreen.com/English/model/ASUS/5158N~FPC-1~06WW/
 435424,"
                        
                                ASUS ROG STRIX GL702VI                            
                                
                                                    ",ASUS,ROG,STRIX,"
                        
                                ASUS ROG STRIX GL702VI                            
                                
                                                    ","
                        
                                ASUS ROG STRIX GL702VI                            
                                
                                                    ","
                                 LCD Screen                            ","
                                17.3"" WideScreen                            ","
                                FHD (1920x1080)                            ","
                                Matte                            ","
                                40 pin video connector                            ","
                                Top and Bottom Brackets                            ","
                                IPS                            ",Lifetime,$99.99,https://www.laptopscreen.com/English/model/ASUS/ROG~STRIX~GL702VI/
 524628,"
                        
                                ASUS X555LF-XO SERIES                            
                                
                                                    ",ASUS,X555LF-XO,SERIES,"
                        
                                ASUS X555LF-XO SERIES                            
                                
                                                    ","
                        
                                ASUS X555LF-XO SERIES                            
                                
                                                    ","
                                 LCD Screen                            ","
                                15.6"" WideScreen                            ","
                                HD (1366x768)                            ","
                                Matte                            ","
                                40 pin video connector                            ","
                                Top and Bottom Brackets                            ","
                                IPS                            ",Lifetime,$79.99,https://www.laptopscreen.com/English/model/ASUS/X555LF-XO~SERIES/
 380218,"
                        
                                ASUS UL80JT-A1                            
                                
                                                    ",ASUS,UL80JT-A1,"
                        
                                ASUS UL80JT-A1                            
                                
                                                    ","
                        
                                ASUS UL80JT-A1                            
                                
                                                    ","
                        
                                ASUS UL80JT-A1                            
                                
                                                    ","
                                 LCD Screen                            ","
                                14.0"" WideScreen                            ","
                                HD (1366x768)                            ","
                                Matte                            ","
                                40 pin video connector                            ","
                                Top and Bottom Brackets                            ","
                                IPS                            ",Lifetime,$82.99,https://www.laptopscreen.com/English/model/ASUS/UL80JT-A1/
 150375,"
                        
                                ASUS K555LN-QH72                            
                                
                                                    ",ASUS,K555LN-QH72,"
                        
                                ASUS K555LN-QH72                            
                                
                                                    ","
                        
                                ASUS K555LN-QH72                            
                                
                                                    ","
                        
                                ASUS K555LN-QH72                            
                                
                                                    ","
                                 LCD Screen                            ","
                                15.6"" WideScreen                            ","
                                HD (1366x768)                            ","
                                Matte                            ","
                                40 pin video connector                            ","
                                Top and Bottom Brackets                            ","
                                IPS                            ",Lifetime,$79.99,https://www.laptopscreen.com/English/model/ASUS/K555LN-QH72/
 494577,"
                        
                                ASUS X42DY                            
                                
                                                    ",ASUS,X42DY,"
                        
                                ASUS X42DY                            
                                
                                                    ","
                        
                                ASUS X42DY                            
                                
                                                    ","
                        
                                ASUS X42DY                            
                                
                                                    ","
                                 LCD Screen                            ","
                                14.0"" WideScreen                            ","
                                HD (1366x768)                            ","
                                Matte                            ","
                                40 pin video connector                            ","
                                Top and Bottom Brackets                            ","
                                IPS                            ",Lifetime,$69.99,https://www.laptopscreen.com/English/model/ASUS/X42DY/
 7652255,"
                        
                                ASUS TUF FA506IV-BR7N12                            
                                
                                                    ",ASUS,TUF,FA506IV-BR7N12,"
                        
                                ASUS TUF FA506IV-BR7N12                            
                                
                                                    ","
                        
                                ASUS TUF FA506IV-BR7N12                            
                                
                                                    ","
                                 LCD Screen                            ","
                                15.6"" WideScreen                            ","
                                FHD (1920x1080)                            ","
                                Glossy                            ","
                                30 pin video connector                            ","
                                No Brackets                            ","
                                IPS                            ",Lifetime,$88.88,https://www.laptopscreen.com/English/model/ASUS/TUF~FA506IV-BR7N12/
 183735,"
                        
                                ASUS CHROMEBOOK C204MA-Q1-CB                            
                                
                                                    ",ASUS,CHROMEBOOK,C204MA-Q1-CB,"
                        
                                ASUS CHROMEBOOK C204MA-Q1-CB                            
                                
                                                    ","
                        
                                ASUS CHROMEBOOK C204MA-Q1-CB                            
                                
                                                    ","
                                Touch Digitizer                            ","
                                11.6"" WideScreen                            ","
                                HD (1366x768)                            ","
                                Matte                            ","
                                30 pin video connector                            ","
                                Top and Bottom Brackets                            ","
                                IPS                            ",Lifetime,$71.99,https://www.laptopscreen.com/English/model/ASUS/CHROMEBOOK~C204MA-Q1-CB/
 100441,"
                        
                                ASUS F555YI-XO SERIES                            
                                
                                                    ",ASUS,F555YI-XO,SERIES,"
                        
                                ASUS F555YI-XO SERIES                            
                                
                                                    ","
                        
                                ASUS F555YI-XO SERIES                            
                                
                                                    ","
                                 LCD Screen                            ","
                                15.6"" WideScreen                            ","
                                HD (1366x768)                            ","
                                Matte                            ","
                                30 pin video connector                            ","
                                Top and Bottom Brackets                            ","
                                IPS                            ",Lifetime,$86.99,https://www.laptopscreen.com/English/model/ASUS/F555YI-XO~SERIES/
 366344,"
                        
                                ASUS D550MA-DS01                            
                                
                                                    ",ASUS,D550MA-DS01,"
                        
                                ASUS D550MA-DS01                            
                                
                                                    ","
                        
                                ASUS D550MA-DS01                            
                                
                                                    ","
                        
                                ASUS D550MA-DS01                            
                                
                                                    ","
                                 LCD Screen                            ","
                                15.6"" WideScreen                            ","
                                HD (1366x768)                            ","
                                Matte                            ","
                                40 pin video connector                            ","
                                Side                            ","
                                IPS                            ",Lifetime,$89.99,https://www.laptopscreen.com/English/model/ASUS/D550MA-DS01/
 418325,"
                        
                                ASUS A43E-VX SERIES                            
                                
                                                    ",ASUS,A43E-VX,SERIES,"
                        
                                ASUS A43E-VX SERIES                            
                                
                                                    ","
                        
                                ASUS A43E-VX SERIES                            
                                
                                                    ","
                                 LCD Screen                            ","
                                14.0"" WideScreen                            ","
                                HD (1366x768)                            ","
                                Matte                            ","
                                40 pin video connector                            ","
                                Side                            ","
                                IPS                            ",Lifetime,$69.99,https://www.laptopscreen.com/English/model/ASUS/A43E-VX~SERIES/
 954415,"
                        
                                ASUS Q502LA-BBI5T14                            
                                
                                                    ",ASUS,Q502LA-BBI5T14,"
                        
                                ASUS Q502LA-BBI5T14                            
                                
                                                    ","
                        
                                ASUS Q502LA-BBI5T14                            
                                
                                                    ","
                        
                                ASUS Q502LA-BBI5T14                            
                                
                                                    ","
                                 LCD Screen                            ","
                                15.6"" WideScreen                            ","
                                FHD (1920x1080)                            ","
                                Glossy                            ","
                                30 pin video connector                            ","
                                Top and Bottom Brackets                            ","
                                IPS                            ",Lifetime,$139.99,https://www.laptopscreen.com/English/model/ASUS/Q502LA-BBI5T14/
